[20250513_002258] Deteksi: Plat Nomor | Confidence: 71.71% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 71.71% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 72.20% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 66.25% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 68.57% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 68.57% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 75.81% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 75.81% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 67.70% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 67.61% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 71.77% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 71.77% | Gambar: plat_20250513_002258.jpg
[20250513_002258] Deteksi: Plat Nomor | Confidence: 70.53% | Gambar: plat_20250513_002258.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 70.53% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 76.89% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 76.89% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 58.84% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 67.31% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 72.66% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 64.58% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 70.97% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 70.97% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 72.04% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 72.04% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 62.16% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 73.80% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 65.25% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 65.25% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 50.54% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 50.54% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 51.37% | Gambar: plat_20250513_002259.jpg
[20250513_002259] Deteksi: Plat Nomor | Confidence: 51.37% | Gambar: plat_20250513_002259.jpg
